package	downloads	summary
1	samtools	914497	Tools for dealing with SAM, BAM and CRAM files
2	htslib	826429	C library for high-throughput sequencing data formats.
3	pysam	671100	Pysam is a python module for reading and manipulating Samfiles. It is a lightweight wrapper of the samtools C-API. Pysam also includes an interface for tabix.
4	bcftools	579321	BCFtools is a set of utilities that manipulate variant calls in the Variant Call Format (VCF) and its binary counterpart BCF. All commands work transparently with both VCFs and BCFs, both uncompressed and BGZF-compressed.  Most commands accept VCF, bgzipped VCF and BCF with filetype detected automatically even when streaming from a pipe. Indexed VCF and BCF will work in all situations. Un-indexed VCF and BCF and streams will work in most, but not all situations.
5	bedtools	350476	A powerful toolset for genome arithmetic
6	fastqc	182495	A quality control tool for high throughput sequence data.
7	bwa	176049	The BWA read mapper.
8	picard	169015	Java tools for working with NGS data in the BAM format
9	bowtie2	164854	Fast and sensitive gapped read alignment
10	blast	161337	BLAST+ is a new suite of BLAST tools that utilizes the NCBI C++ Toolkit.
11	gatk4	144114	Genome Analysis Toolkit (GATK4)
12	pubchempy	136193	A simple Python wrapper around the PubChem PUG REST API.
13	cutadapt	135029	Trim adapters from high-throughput sequencing reads
14	snakemake	124024	A popular workflow management system aiming at full in-silico reproducibility.
15	multiqc	122213	Create aggregate bioinformatics analysis reports across many samples and tools
16	entrez-direct	114946	Entrez Direct (EDirect) is an advanced method for accessing the NCBI's set of interconnected databases (publication, sequence, structure, gene, variation, expression, etc.) from a UNIX terminal window. Functions take search terms from command-line arguments. Individual operations are combined to build multi-step queries. Record retrieval and formatting normally complete the process.
17	hmmer	102146	Biosequence analysis using profile hidden Markov models
18	dnaio	97344	Read FASTA and FASTQ files efficiently
19	sambamba	95108	Tools for working with SAM/BAM data
20	bowtie	85336	An ultrafast memory-efficient short read aligner
21	star	85301	An RNA-seq read aligner.
22	fastp	84482	A FASTQ preprocessor with full features (QC/adapters/trimming/filtering/splitting...)
23	mafft	82318	Multiple alignment program for amino acid or nucleotide sequences based on fast Fourier transform
24	pybigwig	82136	A python extension written in C for quick access to bigWig files.
25	bx-python	81143	
26	cyvcf2	79352	A cython wrapper around htslib built for fast parsing of Variant Call Format (VCF) files
27	pybedtools	77404	Wraps BEDTools for use in Python and adds many additional features.
28	minimap2	75502	A versatile pairwise aligner for genomic and spliced nucleotide sequences.
29	vsearch	73960	a versatile open source tool for metagenomics (USEARCH alternative)
30	c-ares	73059	c-ares is a C library for asynchronous DNS requests (including name resolves)
31	diamond	71046	Accelerated BLAST compatible local sequence aligner
32	pyfaidx	70489	pyfaidx: efficient pythonic random access to fasta subsequences
33	iqtree	69577	Efficient phylogenomic software by maximum likelihood.
34	nextflow	69279	A DSL for data-driven computational pipelines http://nextflow.io
35	bbmap	69255	BBMap is a short read aligner, as well as various other bioinformatic tools.
